Ad,Başrol,Bölüm sayısı,Durumu,Format,Gösterim süresi,Kanal,Senarist,Sezon sayısı,Tür,Yapım şirketi,Yapımcı,Yayın tarihi,Yönetmen,Ülke
Şaşkın Bakkal 216,Önder AçıkbaşZihni GöktayZuhal YalçınLevent AkkökCeylan Yılmazİsa TelciAyça BildikMustafa ÇelikBuse NarcıGülten ÇelikYaşar Mahmutoğlu,3,6,Televizyon dizisi,120,TV8 (HDTV),Önder Açıkbaş,1,191,Acun Medya,Acun Ilıcalı,25 Ocak 2020 - 8 Şubat 2020,Bedran Güzel,Türkiye
Şeref Sözü,Tolgahan SayışmanSude Güler,4,6,Televizyon dizisi,120,Show TV,Eda Tezcan,1,36,TIMS&B Productions,Burak Sağyaşar,14 Ekim 2020 - 4 Kasım 2020,Cevdet Mercan,Türkiye
Tövbeler Olsun,Güven Kıraç İpek Tuzcuoğlu Erkan Can,32,6,Televizyon dizisi,120,TRT 1,Hasan Kaçan Hakan Haksun Enver Sülük Ekin Deren Şekerciler Pervin Bozan Hüseyin Kaçan,1,7,Milim Sanat,Mustafa Fener,9 Ağustos 2020,Serdar Akar (1-11) Şafak Bal (12-32),Türkiye
Tutunamayanlar,Doğu DemirkolEce ÇeşmioğluZafer AlgözBarış YıldızBora Akkaş,19,6,Televizyon dizisi,70,TRT 1,Osman Nail DoğanMustafa Karataş (1-13)Doğu Demirkol (1-13)Çağlar Yurt (1-5)Gökhan Özcan (6-19)Kaan Burak Şen (6-19)Kamuran Süner (6-7)Furkan Özçoban (14-19),1,0,İstanbul Medya AkademisiNeden Film,Ahmet Tarık GüvenOgün Şanlıer,7 Ocak 2020 - 2 Haziran 2020,Murad ZaloğluOsman Nail Doğan,Türkiye
Uyanış: Büyük Selçuklu,Buğra GülsoyEkin KoçHatice ŞendilGürkan UygunSezin AkbaşoğullarıSevda ErginciMehmet ÖzgürLeyla Lydia TuğutluCemal Toktaşİlker KızmazAli GözüşirinLeyla FerayPınar TöreBülent Alkış,34,6,Televizyon dizisi,120,TRT 1,Serdar ÖzönalanEmre Konuk,1,294,Akli Film,Emre Konuk,28 Eylül 2020 - 31 Mayıs 2021,Sedat İnci,Türkiye
Ya İstiklal Ya Ölüm,İlker KızmazBirkan SokulluDolunay SoysertOsman SonantMehmet ÖzgürRıza KocaoğluHilmi Cem İntepeMelis Sezen,12,6,Televizyon dizisi,120,TRT 1,Funda Çetin,1,293,Kirli Kedi,Kerem Çatay,16 Mart 2020 - 20 Nisan 2020,Yasin Uslu,Türkiye
Yarım Kalan Aşklar,Burak DenizDilan Çiçek DenizCem DavranEzel Akay,8,6,İnternet dizisi,104,Netflix,Ethem ÖzışıkHakan BonomoErcan Uğur,1,251,BluTVTims Productions,Timur SavcıBurak Sağyaşar,10 Eylül 2020 - 29 Ekim 2020,Umur Turagay,Türkiye
Yeni Hayat,Serkan ÇayoğluMelisa Aslı PamukTayanç AyaydınNilperi Şahinkaya,9,6,Televizyon dizisi,130,Kanal D,Elif UsmanSerdar SoydanDeniz Büyükkırlı,1,36,OJO Pictures,Ömer ÖzgünerÜmmü Burhan,3 Eylül 2020 - 29 Ekim 2020,Başak SoysalCem Özüduru,Türkiye
Zemheri,Alperen DuymazAyça Ayşin TuranCaner Cindoruk,10,6,Televizyon dizisi,130,Show TV,Sema Ergenekon,1,69,Ay Yapım,Kerem Çatay,15 Ocak 2020 - 18 Mart 2020,Hilal Saral,Türkiye
Zümrüdüanka,Alp NavruzCeren YılmazSelim BayraktarHatice Aslanİsmail Hacıoğlu,26,6,Televizyon dizisi,120,FOX,Can Sinan (1-9)Eylem Canpolat (10-26)Işıl Sönmez (10-26)Nazlı Pınar Ünlü (10-26)Feraye Gizem Kurt (10-26)Leyla Oter (10-18)Doruk Erengül (10-18)Deniz Demirbilek (19-26)Alper Çağlayan (19-26),2,81,Pastel Film,Yașar İrvülEfe İrvül,25 Ocak 2020 - 6 Ocak 2021,Cemal Şan (1-8)Serhan Şahin (9-16)Volkan Kocatürk (17-26),Türkiye
Afili Aşk,Çağlar ErtuğrulBurcu Özberk,38,6,Televizyon dizisi,120,Kanal D,Barış Erdoğanİlker ArslanOkşan TavaslıoğluKübra SülünMeryem Demirli,1,259,ARC Film,Fatih Enes Ömeroğlu,12 Haziran 2019 - 19 Mart 2020,Serdar Gözelekli,Türkiye
Aşk Ağlatır,Deniz Can AktaşHafsanur SancaktutanYağız Can KonyalıEda Şölenci,16,6,Televizyon dizisi,120,Show TV,Yelda Eroğlu Yeşim Çıtak,1,81,MF Yapım,Faruk Bayhan,8 Eylül 2019 - 22 Aralık 2019,Gökçen Usta,Türkiye
Atiye,Beren SaatMehmet GünsürMetin AkdülgerMelisa Şenolsun,24,6,İnternet dizisi,30,Netflix,Jason GeorgeNuran Evren ŞitAyşin AkbulutCansu ÇobanMerih AslanAtasay KoçNergis OtluoğluAli ErcivanPelin Karamehmetoğlu,3,129,OGM Pictures,Onur Güvenatam,27 Aralık 201917 Haziran 2021,Ozan AçıktanBurcu AlptekinGönenç UyanıkGökhan TiryakiAli Taner Baltacı,Türkiye
Aynen Aynen,,43,6,İnternet dizisi,8,Netflix,Alper Erze,6,195,Ay Yapım,Games Medya,1 Ağustos 2019 - 16 Temmuz 2021,Yunus Ozan Korkut Osman Kaya,Türkiye
Azize,Hande ErçelBuğra Gülsoy,6,14,Televizyon dizisi,130,Kanal D,Başar BaşaranEmre ÖzdurErkan Birgören,1,81,Süreç Film,Ali Gündoğdu,19 Kasım 2019 - 28 Aralık 2019,Volkan Kocatürk,Türkiye
Behzat Ç. Bir Ankara Polisiyesi,Erdal Beşikçioğlu Canan Ergüder Fatih Artman İnanç Konukçu Berkan Şal Seda Bakan Berke Üzrek Eray Eserol Hakan Hatipoğlu Ege Aydan Ayça Eren Nejat İşler Güven Kıraç Zafer Algöz Aslı Tandoğan Ahmet Uğurlu Mine Tugay Engin Öztürk Sezin Akbaşoğulları Serdar Orçin Gökhan Yıkılkan Ertuğrul Şakar ve diğerleri,105,6,Televizyon dizisi İnternet dizisi,75,Star TV (2010-2013) BluTV (2019),"Emrah Serbes (10, 20, 30/48, 58, 68) (Senaryo) Ercan Mehmet Erdem (Senaryo) Birol Tezcan (Tretman)",4,235,Adam Film (2010-2013) Inter Medya (2019),Tarkan Karlıdağ (Tüm sezonlar) Can Okan Ahmet Ziyalar (4. sezon),19 Eylül 2010 - 19 Eylül 2019,"Serdar Akar (1, 2 ve 4. sezon) (Genel Yönetmen) Doğan Ümit Karaca (1 ve 2. sezon) Zekeriya Kurtuluş (2. sezon) Mustafa Altıoklar (2. sezon) (Konuk Yönetmen) Sadullah Şentürk (3. sezon)",Türkiye
Benim Adım Melek,Nehir ErdoğanKutsi,66,6,Televizyon dizisi,120,TRT 1,Nilüfer ÖzçelikBerfu Ergenekon,2,81,Üs Yapım,Süreyya Yaşar Önal,25 Eylül 2019 - 19 Mayıs 2021,Cem AkyoldaşCelil Murat SarıGünay Günaydın,Türkiye
Benim Tatlı Yalanım,Furkan PalalıAslı BekiroğluLavinya Ünlüer,28,6,Televizyon dizisi,120,Star TV HD,Deniz DargıMurat TaşkentCenk BoğaturCem Görgeç,1,263,O3 Medya,Onur Güvenatam,13 Haziran 2019 - 28 Aralık 2019,Barış Erçetin,Türkiye
Bir Aile Hikayesi,Songül ÖdenBirkan SokulluCelil NalçakanOlgun TokerElçin Afacanİrem Sak,18,6,Televizyon dizisi,130,FOX,Deniz Madanoğlu,2,107,Medyapım20th Century Fox Television,Fatih Aksoy,9 Mart 2019 - 19 Ekim 2019,Merve Girgin Aytekin (1)Murat Şenöy (2-18)Murat Öztürk (3-18),Türkiye
Canevim,Aras AydınBiran Damla YılmazÖzgür ÇevikBurcu TunaEzgi ŞenlerNihan BüyükağaçRıza AkınBedia Ener,17,14,Televizyon dizisi,140,atv,Filiz AlpgezmenEylem AkınMurat Can Tura,1,104,Koliba Film,Ata Türkoğlu,27 Mayıs 2019 - 30 Eylül 2019,Adnan Güler,Türkiye
Çocuk,Nazan Kesalİsmail HacıoğluSerhat TeomanMerve ÇağıranCeyda Ateş ToplusoyKenan AcarMehmet Emin Güney,18,6,Televizyon dizisi,120,Star TV,Nazlı Sunlu KaçanHilal Yıldız,1,104,1441 Productions,İrfan ŞahinCengiz Deveci,9 Eylül 2019 - 28 Ocak 2020,Serkan Birinci,Türkiye
Çok Güzel Hareketler 2,BKM Mutfak Ekibi,159,3,Televizyon programı,120,Kanal D (10 Şubat 2019-31 Ocak 2022) Star TV (20 Mart 2022-günümüz),BKM Mutfak Ekibi,6,218,BKM,Necati Akpınar,10 Şubat 2019 - günümüz,Özge Toprak Bahıt (1-52)Yılmaz Erdoğan (53-89)Çağdaş Helvacı (90-),Türkiye
Dengi Dengine,Su KutluBora AkkaşBaran Can EraslanMurat KekilliŞinasi YurtseverAltan ErkekliBenian DönmezJale Aylanç,5,6,Televizyon dizisi,100,TRT 1,Optik Düşler Senaryo Grubu,1,205,İstanbul Medya Akademisi,Ogün Şanlıerİbrahim Elma,3 Haziran 2019 - 7 Haziran 2019,Osman Nail Doğan Murad Zaloğlu,Türkiye
Doğduğun Ev Kaderindir,Demet Özdemirİbrahim ÇelikkolEngin Öztürk,43,6,Televizyon dizisi,130,TV8,Eylem Canpolat (1-27)Ayşenur Sıkı (1-27)Defne Gürsoy (1-27)Doruk Erengül (2/5-27)Seray Şahiner (1-33)Selcan Özgür (33-43)Berrin Tekdemir (37-43)Firuze Engin (38-43),2,81,OGM Pictures,Onur Güvenatam,25 Aralık 2019 - 12 Mayıs 2021,Çağrı Bayrak,Türkiye
Ferhat ile Şirin,Cansu DereTolga SarıtaşLeyla Tanlar,6,14,Televizyon dizisi,120,FOX,Savaş Korkmaz,1,81,O3 Medya,Saner Ayar,22 Kasım 2019 - 27 Aralık 2019,Mehmet Ada Öztekin,Türkiye
Güvercin,Mehmet Ali NuroğluAlmila AdaMenderes SamancılarNursel Köse,16,6,Televizyon dizisi,120,Star TV (2019-2020),Halil Özer,1,81,Pastel Film,Yaşar İrvül,24 Kasım 2019 - 28 Ekim 2020,Altan Dönmez,Türkiye
Halka,Nazan KesalSerkan ÇayoğluKaan YıldırımHande ErçelHazal SubaşıAhmet Mümtaz Taylan,19,14,Televizyon dizisi,130,TRT 1,Aziz TunaSelim BenerAli DemirelMeryem Diri,1,40,Es Film,Yusuf EsenkalSerdar Öğretici,15 Ocak 201928 Mayıs 2019,Volkan KocatürkBaşak SoysalSüleyman Mert Özdemir,Türkiye
Hekimoğlu,Timuçin EsenOkan YalabıkEbru ÖzkanKaan YıldırımAytaç ŞaşmazDamla Colbay,51,6,Televizyon dizisi,130,Kanal D,Banu Kiremitçi Bozkurt (1-14)Neşe Şen (15-25)Elif Benan Tüfekçi (26-33)Esed Akçilad (34-41)Murat Taşkent (42-51),2,226,Karga Seven PicturesOJO Pictures,Ömer ÖzgünerÜmmü BurhanKerem Çatay,17 Aralık 2019 - 25 Mayıs 2021,Hülya Gezer (1-24)Semih Bağcı (15-24)Emre Aybek (25-51),Türkiye
Her Yerde Sen,Furkan AndıçAybüke Pusat,23,6,Televizyon dizisi,120,FOX,Meriç Acemi,1,259,Karga Seven Pictures,Ömer Özgüner,14 Haziran 2019 - 23 Kasım 2019,Ender Mıhlar,Türkiye
Hercai,Akın Akınözü Ebru Şahin,69,6,Televizyon dizisi,150,atv,Eda Tezcan (1-12) Feraye Şahin Berşan Tan Pelin Gülcan Sema Ali Erol,3,113,Mia Yapım,Banu Akdeniz,15 Mart 2019 - 25 Nisan 2021,Cem Karcı (1-34)Benal Tairi (1-34)Barış Yöş (35-43) Ali İlhan (44-69),Türkiye
Kimse Bilmez,KeremcemÖzgü KayaEngin HepileriBurak Serdar Şanal,27,6,Televizyon dizisi,140,atv,Hasan Burak Kayacı (1-27)Kemal Çelik (1-17)Ahmet Özdemir (1-17)Pınar Uysal (4-17)Serap Özgür (7-14),1,104,Baba Yapım,Kerem Çatay,11 Haziran 2019 - 29 Aralık 2019,U. Hakan Eren (1-27)Kartal Çidamlı (1-17)Reyhan Pekar (18-27),Türkiye
Kurşun,Engin Altan DüzyatanBurçin TerzioğluBerrak TüzünataçSarp AkkayaEngin ŞenkanKürşat AlnıaçıkSeda Akman,7,6,Televizyon dizisi,120,FOX,Kerem Deren,1,36,Most Production,Gül Oğuz,23 Ekim 2019 - 4 Aralık 2019,Murat Can OğuzBurak Arlıel,Türkiye
Kuruluş Osman,Burak ÖzçivitYıldız Çağrı AtiksoyÖzge TörerEmre BeyÇağrı ŞensoyYiğit UçanEski başrollerNurettin SönmezRagıp SavaşSaruhan HünelDidem BalçınErkan AvcıSerhat KılıçYıldıray ŞahinlerYeşim Ceren BozoğluKanbolat Görkem ArslanSeray KayaSeçkin ÖzdemirTeoman KumbaracıbaşıBurak ÇelikHakan YılmazNihat Altınkayaİpek KarapınarRüzgar AksoySeda Yıldız,142,3,Televizyon dizisi,135,atv,Mehmet BozdağAtilla EnginOzan BodurFatma Nur GüldalıAbdulkadir İlterAslı Zeynep Peker BozdağAli Ozan Salkım,5,295,Bozdağ Film,Mehmet Bozdağ,20 Kasım 2019 - günümüz,Metin Günay (1-64)Ahmet Yılmaz (65-),Türkiye
Kuzey Yıldızı İlk Aşk,İsmail DemirciAslıhan Güner,64,6,Televizyon dizisi,140,Show TV,Ersoy Güler,2,216,Süreç Film,Ali Gündoğdu,14 Eylül 2019 - 15 Mayıs 2021,Ersoy Güler,Türkiye
Kuzgun,Barış ArduçBurcu Biricik,21,6,Televizyon dizisi,130,Star TV,Burcu GörgünÖzlem Yılmaz,2,81,Ay Yapım,Kerem ÇatayPelin Diştaş,13 Şubat 2019 - 16 Ekim 2019,Ali Bilgin,Türkiye
Leke,Burak SevinçMelis Sezen,9,14,Televizyon dizisi,140,Kanal D,Yıldız TunçSu ErsözDerem ArpacıSedef BayburtluoğluEylül İdiman,1,104,TIMS&B Productions,Timur SavcıBurak Sağyaşar,16 Nisan 2019 - 18 Haziran 2019,Metin Balekoğlu (1-6)Şenol Sönmez (7-9),Türkiye
Mucize Doktor,Taner ÖlmezOnur TunaSinem Ünsal,64,6,Televizyon dizisi,130,FOX,Pınar BulutOnur Koralp,2,227,MF Yapım,Asena Bülbüloğlu,12 Eylül 2019 - 27 Mayıs 2021,"Yusuf Pirhasan (1-48, 64)Aytaç Çiçek (2-28, 30-53)Volkan Keskin (53)Yağız Alp Akaydın (54-60)Altan Dönmez (61-64)",Türkiye
Nöbet,Yurdaer OkurSaygın SoysalDeniz Bolışıkİpek KarapınarKürşat Alnıaçıkİbrahim Kendirci,8,6,Televizyon dizisi,130,Show TV,Necati ŞaşmazAli Alper ErzeMurat Koca,1,109,Pana Film,Necati Şaşmaz,3 Mart 2019 - 5 Mayıs 2019,Necati Şaşmaz(Genel Yönetmen)Ömer Gökhan Erkut,Türkiye
Sevdim Seni Bir Kere,Yağmur ÇokgençOğuzhan Kayra KoçGonca YakutVolkan Murat BenliDidem Özkavukçu,154,6,Televizyon dizisi,55,Star TV,Kerem Çatay,1,147,Focus Film,Nilgün Sağyaşar,9 Eylül 2019 - 10 Nisan 2020,Bergüzar DemiroğluBuket ÇartılMihriban Şahin,Türkiye
Sevgili Geçmiş,Ece UsluEmre KınaySevda ErginciSeçkin ÖzdemirElifcan OngurlarMelis SezenÖzge Özacar,8,6,Televizyon dizisi,120,Star TV,Funda Alp,1,81,Süreç Film,İnci Gündoğduİsmail Gündoğdu,25 Ekim 2019 - 13 Aralık 2019,Aydın Bulut,Türkiye
Şampiyon,Tolgahan SayışmanYıldız Çağrı AtiksoyErdal ÖzyağcılarErkan Avcı,34,6,Televizyon dizisi,120,TRT 1,Alphan DikmenBaşak Angigün,1,112,BSK Yapım,Çağrı Bingüller,12 Eylül 2019 - 13 Ağustos 2020,KetcheDevrim Yalçın,Türkiye
Tek Yürek,Tayanç AyaydınVildan AtaseverHilmi Cem İntepeAnıl TetikAlpay Kemal AtalanEslem AkarTugay BahşiArda AnaratAtakan YılmazKaan Altay Köprülü,22,6,Televizyon dizisi,130,TRT 1,Meriç DemirayElif AsılkefeliBanu Tekcan,1,17,Degas Film,Ahmet Kayımtu,7 Şubat 2019 - 25 Temmuz 2019,Mehmet Ada Öztekin (1)Nezaket Coşkun (2-22),Türkiye
Vurgun,Erkan PetekkayaDeniz ÇakırEmre KınayBegüm BirgörenCemal ToktaşAliye UzunatağanAltan Erkekliİnanç Konukçu,6,6,Televizyon dizisi,130,FOX,Başar BaşaranEmre Özdür,1,104,Gold Film,Faruk Turgut,6 Şubat 201913 Mart 2019,Altan DönmezOrkun ÇatakHilal Saral,Türkiye
Vuslat,Kadir DoğuluDevrim ÖzkanMehmet ÖzgürÜmit Kantarcılar,44,6,Televizyon dizisi,130,TRT 1,Betül Yağsağan,2,108,A23 Medya,Uğur VeliRaif İnan,7 Ocak 2019 - 9 Mart 2020,Murat Onbul (1-2)Barış Yöş (3-44),Türkiye
Yaralı Kuşlar,Gizem ArıkanEmre Mete SönmezAli Yasin ÖzegemenAyşen İnciÖzgür ÖzberkElif ErolMelis Cemre Çınar,165,6,Televizyon dizisi,55,Kanal D (HD),Elif YılmazGökçen EroğluEmre Fulya TanrıkuluMeryem TemizBedirhan ToprakMünevver YıldızAslı AksuYasemin İnal AvcıSinem Şengünlü,1,81,Stellar Yapım,İnal Gülen Oarr,1 Nisan 2019 - 29 Kasım 2019,Yasemin ErkulEce Tahtalıoğlu Pertez,Türkiye
Yemin,Gökberk DemirciSetenay SüerCan VerelYağmur ŞahbazovaÖzge YağızCansu Tuman,503,6,Televizyon dizisi,60,Kanal 7,Nazmiye Yılmaz,4,231,Karamel Yapım,Kerem Çatay,18 Şubat 2019 - 9 Ekim 2022,Hakan ArslanReyhan Pekar,Türkiye
Yüzleşme,Hande DoğandemirUğur YücelEngin ÖztürkYiğit Kirazcı,4,6,Televizyon dizisi,120,Kanal D,Altuğ Küçükİsa YıldızPelin KaramehmetoğluBeril Köse,1,137,Ay Yapım,Bülent Turgut,5 Mart 2019 - 26 Mart 2019,Ömer Faruk SorakBurak Arlıel,Türkiye
Zalim İstanbul,Fikret KuşkanDeniz UğurMine TugayMehmet Ozan DolunaySera KutlubeyBerker GüvenSimay Barlasİdris Nebi Taşkan Bahar Şahin,39,6,Televizyon dizisi,120,Kanal D HD,Aysun Erdoğan (26-39) Seda Çakır Avunduk (26-39) Tunus Tașçı (26-27) Özlem Tasağal Yakıçı (29-39) Baykut Badem (33-35),2,81,Avşar Film,Şükrü Avşar,1 Nisan 2019 - 22 Haziran 2020,Cevdet Mercan (1-25) Gökçen Usta (26-32) Şenol Sönmez (33-39),Türkiye
Zengin ve Yoksul,Binnur KayaGökhan AlkanOsman SonantEvrim Solmaz Damla ColbayGülcan Arslan,8,6,Televizyon dizisi,120,atv,Yelda EroğluHatice MeryemMert MeriçliBirol Elginöz,1,113,Ay Yapım,Mehmet Yiğit Alp,7 Nisan 2019 - 26 Mayıs 2019,Deniz Yorulmazer,Türkiye
4N1K İlk Aşk,,12,14,Televizyon dizisi,120,FOX,Ferhat Ergün,1,71,Fabrika Yapım,Öner Arslanel,6 Temmuz 2018 - 28 Eylül 2018,Murat Onbul,Türkiye
8. Gün,Burcu BiricikMusa UzunlarBuğra GülsoyCeyda DüvenciCem DavranYiğit KirazcıHakan KurtaşGökçe YanardağSermet Yeşil,6,6,Televizyon dizisi,120,atv,Savaş KorkmazSeda ÇalışırToprak Karaoğlu,1,36,Ay Yapım,Kerem Çatay,19 Mart 2018 - 7 Mayıs 2018,Çağrı Vila Lostuvalı,Türkiye
Ağlama Anne,Birce AkalayCansel ElçinÖzlem Yılmaz,13,6,Televizyon dizisi,120,atv,Serdar Oğuz[1],1,81,Süreç Film,İnci Gündoğduİsmail Gündoğdu,7 Ekim 2018 - 30 Aralık 2018,Feride Kaytan,Türkiye
Avlu,Demet EvgarCeren MorayNursel Köse,44,14,Televizyon dizisi,120,Star TV,Ahmet Yurdakul,2,100,Limon Film,Hayri Aslan,29 Mart 2018 - 30 Mayıs 2019,Yüksel Aksu (1-44)Hülya Gezer (2-44)Şafak Bal (2-44),Türkiye
Bartu Ben,Bartu Küçükçağlayan,10,6,İnternet dizisi,104,Netflix,Kerem Çatay,1,191,BKM,Kerem Çatay,18 Ekim 2018 - 29 Kasım 2018,Kerem Çatay,Türkiye
Beni Bırakma,Gökberk YıldırımEda Nur GülbudakCenay TurkseverHazal Eylül Çelik,630,6,Televizyon dizisi,60,atv,Nebahat KüçükazayMelike YılmanNecati KüçükazayRedife ZerenerUğur Kandemir ArpacıZeynep KayaTolga KüçükErdal Bektaş,4,98,Focus Film,Nilgün Sağyaşar,8 Ocak 2018 - 18 Haziran 2021,Gürsel AteşCanan EvcimenAyşe I. TügenNujin YıldızDilşen K. KavuzluAyşegül Işıkay,Türkiye
Bir Deli Rüzgar,Pınar DenizBerk CankatHatice AslanAlmila Ada,6,6,Televizyon dizisi,130,FOX,Volkan Gürses,1,81,TMC Film,Erol Avcı,15 Eylül 2018 - 20 Ekim 2018,Altan Dönmez,Türkiye
Bir Mucize Olsun,Furkan PalalıSu Kutlu,3,6,Televizyon dizisi,120,FOX,Can SinanAli ErcivanEkin Dere Şekerciler,1,113,Pastel Film,Yaşar İrvül Efe İrvül,6 Nisan 2018 - 20 Nisan 2018,Hamdi Alkan,Türkiye
Bir Umut Yeter,Tolgahan SayışmanEsra BilgiçHazal Subaşı,6,6,Televizyon dizisi,120,Kanal D,Umut AçıkalınÖzlem ÇadırcıSeçil ÖzdemirMelis Civelek,1,157,MF Yapım,Fatih Aksoy,27 Eylül 2018 - 12 Kasım 2018,Yusuf Pirhasan,Türkiye
Bir Zamanlar Çukurova,Hilal AltınbilekVahide PerçinUğur GüneşMurat Ünalmışİbrahim ÇelikkolKerem AlışıkMelike İpek YalovaFurkan PalalıEsra Dermancıoğluİlayda ÇevikNazan KesalHande SoralHülya DarcanSerpil Tamur,141,6,Televizyon dizisi,150,atv,Yıldız TunçAtilla ÖzelAyça ÜzümSelena Çağlayan,4,148,Tims&B Productions,Timur SavcıBurak Sağyaşar Burak TopuzluTuran Bayat,13 Eylül 2018 - 16 Haziran 2022,Faruk Teber (1-2)Murat Saraçoğlu (3-141)Evren Karabıyık Günaydın (3-141),Türkiye
Bozkır,1. sezon Yiğit Özşener Ekin Koç 2. sezon Yiğit Özşener Furkan Andıç,18,5,İnternet dizisi,58,Netflix,Levent Cantek (1-)Ali Demirel (2-10)Barış Erdoğan (2-10),2,245,ARC Film,Fatih Enes Ömeroğlu,30 Kasım 2018 - günümüz,1. sezon Bahadır İnce 2. sezon Levent Cantek Şahin Altuğ,Türkiye
Börü,Serkan ÇayoğluMesut AkustaAhu TürkpençeMurat ArkınEmir BenderlioğluMelis HacicFırat DoğruloğluAhmet PınarCan NergisArmağan OğuzBedii AkınOzan AğaçGürol Tonbul,6,6,Televizyon dizisi,60,Star TV,Alper ÇağlarCem ÖzüduruEmre SirelCan Emre,1,244,CaglarArtsInsignia,Alper ÇağlarDoruk Acar,28 Şubat 2018 - 11 Nisan 2018,Can EmreCem Özüduru,Türkiye
Can Kırıkları,Hande DoğandemirFunda EryiğitSeçkin ÖzdemirAlican Yücesoy Özgür Çevik,4,6,Televizyon dizisi,120,atv,Gül GürsoyGülsev KaragözZafer Özer Çetinel,1,36,Ay Yapım,Mehmet Yiğit Alp,8 Ekim 2018 - 29 Ekim 2018,Serkan Birinci,Türkiye
Çarpışma,Kıvanç TatlıtuğElçin SanguOnur SaylakMelisa Aslı PamukAlperen Duymaz,24,6,Televizyon dizisi,140,Show TV,Ali Aydın,1,39,Ay Yapım,Kerem ÇatayPelin Diştaş,22 Kasım 2018 - 30 Mayıs 2019,"Uluç Bayraktar (1-6, 10-24)Ahmet Katıksız (7-9)Ufuk Hakan Eren (7-9)",Türkiye
Darısı Başımıza,Ozan DolunayElif Doğan,5,6,Televizyon dizisi,120,Show TV,Deniz DargıOkşan TavaşlıoğluKübra SülünNaz YiğitBanu Zengin,1,107,Gold Film,Faruk Turgut,4 Temmuz 2018 - 1 Ağustos 2018,Barış YöşZeliha Orman,Türkiye
Dip,İlker Kaleli Neslihan Atagül Bülent Emin Yarar Berrak Tüzünataç Lale Mansur Defne Kayalar Olgun Toker Gün Koper Gözde Türkpençe Can Gox,8,6,İnternet dizisi,60,Netflix,Başar Başaran,1,48,TMC Film,Erol Avcı,30 Mart 201825 Mayıs 2018,Uygar Kutlu,Türkiye
Ege'nin Hamsisi,İclal AydınUğur ÇavuşoğluUraz KaygılaroğluBestemsu Özdemir,23,6,Televizyon dizisi,140,TRT 1,Filiz EkiciYıldırım Bayazıt,1,205,Köprü Film,Ferhat Eşsiz,16 Temmuz 2018[1] - 31 Aralık 2018,Mustafa Şevki Doğan,Türkiye
Elimi Bırakma,Alina BozAlp NavruzDolunay SoysertSeray GözlerNihat AltınkayaEbru Aykaç,59,6,Televizyon dizisi,150,TRT 1,Nilüfer ÖzçelikVolkan YazıcıSerap Özgür,2,113,ÜS Yapım,Süreyya Yaşar Önal,22 Temmuz 2018 - 24 Aralık 2019,Sadullah CelenAdnan Güler,Türkiye
Erkenci Kuş,Can YamanDemet Özdemir,51,6,Televizyon dizisi,120,Star TV,Ayşe Kutlu (1-17)İlker Barış (1-17)Yeşim Çıtak (1-17)Aslı Zengin (18-51)Banu Zengin Tak (18-51),1,259,Gold Film,Faruk Turgut,26 Haziran 2018 - 6 Ağustos 2019,Çağrı BayrakAytaç Çiçek,Türkiye
Gülizar,Farah Zeynep AbdullahBerk CankatEbru CündübeyoğluŞerif Sezer,10,6,Televizyon dizisi,120,Kanal D,Mahinur Ergun,1,81,O3 Medya,Onur Güvenatam,20 Ocak 2018 - 24 Mart 2018,Çağan Irmak,Türkiye
Gülperi,Nurgül YeşilçayTimuçin EsenTarık PabuçcuoğluEce SükanBurak DakakAleyna ÖzgeçenEmir ÖzyakışırOnur Bilge,30,6,Televizyon dizisi,120,Show TV,Sema ErgenekonEylem Canpolat,1,81,Tims&B Productions,Timur SavcıBurak Sağyaşar,14 Eylül 2018 - 3 Mayıs 2019,Metin Balekoğlu,Türkiye
Hakan: Muhafız,Çağatay UlusoyAyça Ayşin TuranHazar ErgüçlüOkan YalabıkBurçin TerzioğluYurdaer OkurEngin ÖztürkTaner ÖlmezFunda Eryiğit,32,6,İnternet dizisi,45,Netflix,Jason GeorgeYasemin YılmazEmre ÖzpirinçciKerim CeylanAtilla ÜnsalAşkım Özbek,4,173,NetflixO3 Medya,Alex Sutherland,14 Aralık 2018 - 9 Temmuz 2020,Umut AralGönenç UyanıkBurcu AlptekinCan EvrenolGökhan Tiryaki,Türkiye
Hıçkırık,Sezgi Sena AkayBarış Arda Hacıoğlu,50,6,Televizyon dizisi,60,Kanal D,Nil Fırat,1,113,Birsel Yapım,Sevgi BirselSinan Akad,1 Ocak 2018 - 9 Mart 2018,Fırat GürsoyÖzdemir Göksel Aydın,Türkiye
İkizler Memo-Can,Nehir ErdoğanÖzgürcan ÇevikEmir Berke ZincidiBurak HakkıTuğba ÇınarAtilla Saral,25,14,Televizyon dizisi,120,Kanal D,Özlem Atasoy,1,205,Erler Film,Türker İnanoğlu,27 Ekim 2018 - 8 Mayıs 2019,Erol Özlevi,Türkiye
İnsanlık Suçu,Kaan YıldırımGizem KaracaMelike İpek YalovaLaçin CeylanDeniz UğurSerkay TütüncüAhmet Mümtaz Taylan,8,6,Televizyon dizisi,140,Kanal D,Can SinanVilmer ÖzçınarNalan Merter Savaş,1,81,Pastel Film,Efe İrvül,31 Mart 201819 Mayıs 2018,Reyhan PekerOzan Uzunoğlu,Türkiye
